[26/Apr/2016 14:12:47] - (0.001) INSERT INTO "book_store_book" ("title", "author", "info", "ISBN", "publish_date", "price") VALUES ('How to ride a bike?', 'Crazy Frog', 'Don''t repeat that at home', '1234567890', '2016-04-26', '99.99') RETURNING "book_store_book"."id"; args=(u'How to ride a bike?', u'Crazy Frog', u"Don't repeat that at home", u'1234567890', u'2016-04-26', u'99.99') 
[28/Apr/2016 12:34:01] - (0.002) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = './bg.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'./bg.png', 2) 
[28/Apr/2016 12:39:01] - (0.002) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'uploads/bg.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'uploads/bg.png', 2) 
[28/Apr/2016 12:40:02] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'uploads/bg.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'uploads/bg.png', 2) 
[28/Apr/2016 13:12:29] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'book_store/uploads/bg.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'book_store/uploads/bg.png', 2) 
[28/Apr/2016 13:30:38] - (0.002) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'book_store/uploads/bg_6Kg38Ch.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'book_store/uploads/bg_6Kg38Ch.png', 2) 
[28/Apr/2016 13:55:30] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'book_store/uploads/bg.png' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'book_store/uploads/bg.png', 2) 
[28/Apr/2016 13:57:34] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92', "image" = 'book_store/uploads/1.jpg' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', u'book_store/uploads/1.jpg', 2) 
[28/Apr/2016 13:58:21] - (0.001) UPDATE "book_store_book" SET "title" = 'Brainhack', "author" = 'Neil Pavitt', "info" = 'Hack into the secret power of your brain Your Brain 100 Billion Neurons 100 Trillion Connections And you only command 5% of it. Now it''s time to take back control! In Brainhack, creativity coach Neil Pavitt gives you tips and tricks to re-programme your brain, developing the skills and insights that can transform how you think, solve problems and make decisions. This book will help you: Learn to think smarter Become more focused Discover creative approaches to problem-solving Generate ideas with innovative techniques Unlock your brain blocks', "ISBN" = '9780857086426', "publish_date" = '2016-04-26', "price" = '10.32', "image" = 'book_store/uploads/2.jpg' WHERE "book_store_book"."id" = 3; args=(u'Brainhack', u'Neil Pavitt', u"Hack into the secret power of your brain Your Brain 100 Billion Neurons 100 Trillion Connections And you only command 5% of it. Now it's time to take back control! In Brainhack, creativity coach Neil Pavitt gives you tips and tricks to re-programme your brain, developing the skills and insights that can transform how you think, solve problems and make decisions. This book will help you: Learn to think smarter Become more focused Discover creative approaches to problem-solving Generate ideas with innovative techniques Unlock your brain blocks", u'9780857086426', u'2016-04-26', u'10.32', u'book_store/uploads/2.jpg', 3) 
[28/Apr/2016 14:00:06] - (0.001) UPDATE "book_store_book" SET "title" = 'Brilliant Answers to Tough Interview Questions', "author" = 'Susan Hodgson', "info" = 'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', "ISBN" = '9781292015330', "publish_date" = '2016-04-26', "price" = '12.25', "image" = 'book_store/uploads/3.jpg' WHERE "book_store_book"."id" = 7; args=(u'Brilliant Answers to Tough Interview Questions', u'Susan Hodgson', u'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', u'9781292015330', u'2016-04-26', u'12.25', u'book_store/uploads/3.jpg', 7) 
[28/Apr/2016 14:27:26] - (0.002) UPDATE "book_store_book" SET "title" = 'Brilliant Answers to Tough Interview Questions', "author" = 'Susan Hodgson', "info" = 'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', "ISBN" = '9781292015330', "publish_date" = '2016-04-26', "price" = '12.25', "image" = 'book_store/uploads/3_diowVVZ.jpg' WHERE "book_store_book"."id" = 7; args=(u'Brilliant Answers to Tough Interview Questions', u'Susan Hodgson', u'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', u'9781292015330', u'2016-04-26', u'12.25', u'book_store/uploads/3_diowVVZ.jpg', 7) 
[28/Apr/2016 14:28:44] - (0.001) UPDATE "book_store_book" SET "title" = 'Brilliant Answers to Tough Interview Questions', "author" = 'Susan Hodgson', "info" = 'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', "ISBN" = '9781292015330', "publish_date" = '2016-04-26', "price" = '12.25', "image" = 'book_store/uploads/3_diowVVZ.jpg' WHERE "book_store_book"."id" = 7; args=(u'Brilliant Answers to Tough Interview Questions', u'Susan Hodgson', u'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', u'9781292015330', u'2016-04-26', u'12.25', u'book_store/uploads/3_diowVVZ.jpg', 7) 
[28/Apr/2016 14:28:53] - (0.002) UPDATE "book_store_book" SET "title" = 'Brilliant Answers to Tough Interview Questions', "author" = 'Susan Hodgson', "info" = 'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', "ISBN" = '9781292015330', "publish_date" = '2016-04-26', "price" = '12.25', "image" = 'book_store/uploads/3_50hw9UJ.jpg' WHERE "book_store_book"."id" = 7; args=(u'Brilliant Answers to Tough Interview Questions', u'Susan Hodgson', u'What does it take to really shine in any interview? Learn how to recognise your strengths and play to them, how to deal with your weak spots and avoid panic and cliched answers. Discover the art of turning every question to your advantage and learn the secrets behind a brilliant answer, so you will always know the right thing to say. With over 200 of the most commonly-asked questions and ideal answers, this is the book that will make sure that you are ready to handle anything an interviewer throws at you. BRILLIANT OUTCOMES * Learn how to turn any question to your advantage * Feel prepared and in control - no matter what questions are asked * Be ready and able to show your strengths', u'9781292015330', u'2016-04-26', u'12.25', u'book_store/uploads/3_50hw9UJ.jpg', 7) 
[28/Apr/2016 14:29:48] - (0.001) UPDATE "book_store_book" SET "title" = 'Brilliant Communication Skills', "author" = 'Gill Hasson', "info" = 'What does it take to be a successful communicator? Just about every job requires excellent communication skills. To get ahead at work you need to be able to express yourself clearly and understand the feelings, needs and intentions of others. So how can you make sure other people understand you and that you respond appropriately to other people? Whether it''s giving a presentation, getting your point across in a meeting, or understanding the effects of body language, the proven tips and techniques provided in this book will get you communicating more effectively and successfully in no time! * Explain yourself clearly, and get your point across easily * Know what to say to help others open up to you * Feel confident about communicating with a wide range of people', "ISBN" = '9781292081076', "publish_date" = '2016-04-26', "price" = '13.03', "image" = 'book_store/uploads/4.jpg' WHERE "book_store_book"."id" = 10; args=(u'Brilliant Communication Skills', u'Gill Hasson', u"What does it take to be a successful communicator? Just about every job requires excellent communication skills. To get ahead at work you need to be able to express yourself clearly and understand the feelings, needs and intentions of others. So how can you make sure other people understand you and that you respond appropriately to other people? Whether it's giving a presentation, getting your point across in a meeting, or understanding the effects of body language, the proven tips and techniques provided in this book will get you communicating more effectively and successfully in no time! * Explain yourself clearly, and get your point across easily * Know what to say to help others open up to you * Feel confident about communicating with a wide range of people", u'9781292081076', u'2016-04-26', u'13.03', u'book_store/uploads/4.jpg', 10) 
[28/Apr/2016 14:30:53] - (0.001) UPDATE "book_store_book" SET "title" = 'Brilliant Personal Effectiveness', "author" = 'Douglas Miller', "info" = 'Available - dispatched from the UK in 3 business days', "ISBN" = '9781292077567', "publish_date" = '2016-04-26', "price" = '15.13', "image" = '101' WHERE "book_store_book"."id" = 9; args=(u'Brilliant Personal Effectiveness', u'Douglas Miller', u'Available - dispatched from the UK in 3 business days', u'9781292077567', u'2016-04-26', u'15.13', u'101', 9) 
[28/Apr/2016 14:30:59] - (0.001) UPDATE "book_store_book" SET "title" = 'Brilliant Personal Effectiveness', "author" = 'Douglas Miller', "info" = 'Available - dispatched from the UK in 3 business days', "ISBN" = '9781292077567', "publish_date" = '2016-04-26', "price" = '15.13', "image" = 'book_store/uploads/5.jpg' WHERE "book_store_book"."id" = 9; args=(u'Brilliant Personal Effectiveness', u'Douglas Miller', u'Available - dispatched from the UK in 3 business days', u'9781292077567', u'2016-04-26', u'15.13', u'book_store/uploads/5.jpg', 9) 
[28/Apr/2016 14:54:20] - (0.001) UPDATE "book_store_book" SET "title" = 'Brainhack', "author" = 'Neil Pavitt', "info" = 'Hack into the secret power of your brain Your Brain 100 Billion Neurons 100 Trillion Connections And you only command 5% of it. Now it''s time to take back control! In Brainhack, creativity coach Neil Pavitt gives you tips and tricks to re-programme your brain, developing the skills and insights that can transform how you think, solve problems and make decisions. This book will help you: Learn to think smarter Become more focused Discover creative approaches to problem-solving Generate ideas with innovative techniques Unlock your brain blocks', "ISBN" = '9780857086426', "publish_date" = '2016-04-26', "price" = '10.32', "image" = 'book_store/uploads/brain.jpg' WHERE "book_store_book"."id" = 3; args=(u'Brainhack', u'Neil Pavitt', u"Hack into the secret power of your brain Your Brain 100 Billion Neurons 100 Trillion Connections And you only command 5% of it. Now it's time to take back control! In Brainhack, creativity coach Neil Pavitt gives you tips and tricks to re-programme your brain, developing the skills and insights that can transform how you think, solve problems and make decisions. This book will help you: Learn to think smarter Become more focused Discover creative approaches to problem-solving Generate ideas with innovative techniques Unlock your brain blocks", u'9780857086426', u'2016-04-26', u'10.32', u'book_store/uploads/brain.jpg', 3) 
